



"Name","Beitrags-ID","Themenschwerpunkte","Ort","Textkörper","Personenkategorie","Länder & Regionen"
"Sebastian Garbe","5202","Menschenrechte","","","Autor*in","Chile"
"Wilfredo Ardito","5280","","","","Autor*in",""
"Regine Kretschmer","5521","","","","Autor*in",""
"Elisabeth Funk","5530","","","","Autor*in",""
"Victor Gavilán","5608","","","","Autor*in",""
"Alina Rodenkirchen","5648","Mapuche","","","Autor*in","Chile"
"Constanze Lemmerich","5659","","","","Autor*in","Brasilien"
"Adhemar S. Mineiro","5663","","","","Autor*in",""
"Wolf-Dieter Vogel","5787","","","","Autor*in",""
"Jochen Schüller","5795","","","","Autor*in",""
"Celia Schmidt","5935","","","","Autor*in",""
"Rita Trautmann","6102","","","","Autor*in","Honduras"
"Sandra Huenchuan","6159","","","","Autor*in",""
"Inga Kreuzer","6161","","","","Ständige Mitarbeiter*in",""
"Ximena Montaño","6267","","","","Autor*in","Ecuador"
"Stefan Peters","6269","","","","Autor*in",""
"Patrick Eser","6280","","","","Autor*in",""
"Sandra Schmidt","6282","","","","Ständige Mitarbeiter*in",""
"Wolfgang Ecker","6390","","","","Ständige Mitarbeiter*in","Uruguay"
"Rossdela Heredia","6392","","","","Autor*in",""
"Andrea Burga","6394","","","","Autor*in","Peru"
"Horacio Verbitsky","6396","","","","Autor*in","Argentinien"
"Mirra Banchón","6435","","","","Autor*in",""
"Anton Froleyks","6497","","","","Autor*in",""
"Denise Notter","6501","","","","Autor*in",""
"Mauricio Isaza-Camacho","6571","","","","Autor*in",""
"John L. Betancur","6578","","","","Autor*in",""
"Natalia Consiglieri Nieri","6579","","","","Autor*in",""
"Hans Roeder","6580","","","","Autor*in","Panama"
"Kathrin Birner","6586","","","","Autor*in",""
"Manuel Bayón","6827","Umweltschutz","","","Autor*in","Ecuador"
"Elizabeth Bravo","6828","","","","Autor*in","Ecuador"
"Carlos Tacuri","6848","Anarchismus","","","Autor*in","Ecuador"
"Nazaret Castro","6886","Migration","","","Autor*in",""
"Nelson Rauda Zablah","6898","","","","Autor*in",""
"John Patrick Leary","6905","","","","Autor*in",""
"Annika Hirsekorn","6908","","","","Autor*in",""
"Patricio López","6925","","","","Autor*in",""
"Florian Horn","6928","","","","Autor*in",""
"Robin Tunger","6963","","","","Autor*in",""
"León E. Bieber","6970","Exil","","","Autor*in","Bolivien"
"Fernando Chacón Serrano","7089","","","","Autor*in","El Salvador"
"Dennis Javier Muñoz Bonilla","7094","","","","Autor*in","Honduras"
"Mariana Carbajal","7151","","","","Autor*in","Argentinien"
"Cristina Valdivia Caballero","7152","","","","Autor*in","Mexiko"
"Jesús Valencia","7184","","","","Autor*in","El Salvador"
"Carlos Eduardo Colorado","7187","","","","Autor*in","El Salvador"
"Sonja Gerth / CIMAC","7269","","","","Autor*in","Mexiko"
"Lucía Lagunes Huerta","7270","","","","Autor*in",""
"Daniela Dreißig","7273","","","","Autor*in","Honduras"
"Flor Patricia Silva Martínez","7295","Bildung, Gewerkschaft","","","Autor*in","Kolumbien"
"Romina Bernardo","7357","Musik","","","Autor*in","Argentinien"
"Elena Harlos","7360","","","","Autor*in",""
"Andreas Baumgart","7365","","","","Autor*in","Peru"
"María de las Nieves Puglia","7476","","","","Autor*in",""
"Manuel González","7477","","","","Autor*in",""
"Simón Terz","7478","","","","Autor*in",""
"Barbara Lucas","7479","","","","Autor*in","Nicaragua"
"Carmen Ibáñez Cueto","7484","","","","Autor*in",""
"Juliette Schlebusch","7622","","","","Autor*in","Kolumbien"
"Stefan Ofteringer","7706","","","","Autor*in","Kolumbien"
"Marco Antonio Ballesteros Villarrubias","7766","Psychotherapie","","","Autor*in","Bolivien"
"Tainã Mansani","7767","","","","Autor*in","Brasilien"
"Alejandra Pau","7854","","","","Autor*in","Bolivien"
"Luis Ortiz","7859","","","","Autor*in","Kolumbien"
"Manuel Torres","7867","","","","Autor*in","Honduras"
"grupo basuca","7971","","","","Autor*in","Kolumbien, Venezuela"
"Valeska Díaz Soto","8048","","","","Autor*in","Chile"
"Wiebke Adams","8050","","","","Ständige Mitarbeiter*in",""
"Carolina Garay Doig","8052","","","","Redaktionsmitglied",""
"Luiz Ramalho","8054","","","","Autor*in","Brasilien"
"Nina Hagen","8057","Solidarität","","","Ständige Mitarbeiter*in","Nicaragua, Deutschland"
"Oscar Ugarteche","8150","","","","Autor*in","Peru"
"Thilo F. Papacek","8151","Umwelt","","","Autor*in",""
"Eva Kalny","8153","","","","Autor*in","Guatemala"
"Stefanie Schien","8229","Freiwilligendienste","","","Autor*in",""
"Annuschka Eckhardt","8230","Freiwilligendienste","","","Autor*in",""
"Simon Hirzel","8306","","","","Redaktionsmitglied",""
"Ewgeniy Kasakow","8342","","","","Autor*in",""
"Lars Weiß","8363","","","","Autor*in",""
"Denise Schaffrinski","8423","","","","Ständige Mitarbeiter*in","Dominikanische Republik"
"Alberto Pierre Cena","8424","","","","Autor*in",""
"Alba Carosio","8546","Frauen","","","Autor*in","Venezuela"
